"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Comments,Saves,Follows
18007258048613788,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Finally, resources about gender incongruence and ministering to trans* people

Over the past year, Equip has partnered with Jesse White, a seminary-trained Christian leader who has been faithfully stewarding his own gender incongruence. Together, we’ve developed a brand-new resource to help pastors and Christians navigate this conversation in their communities:

Equip's new Gender Incongruence Course is a 4-session resource that (1) helps Christian leaders and parents think empathetically and theologically about gender incongruence and (2) equips Christian leaders and parents to offer God’s love and wisdom to trans* people.

The Course includes the stories of trans* people, a survey of relevant Bible passages, answers to key theological questions, and practical advice for caring for those navigating gender incongruence in your families and churches.

Over the next 8 weeks, learn about gender incongruence with Equip and help others learn in three ways:

1. WATCH: Get on-demand access to Equip’s Gender Incongruence Course today for just $50. On your own or in a group, you can watch all course sessions led by Jesse, reflect and discuss using course handouts, and review what you’ve learned with detailed notes. 

2. READ: Not ready to jump in just yet? Read samples of “Understanding Gender Incongruence & Caring for Trans* People” on Equip’s Blog, including articles about pronouns and name changes, who trans* people are in God’s eye, and suicide prevention.

3. SCHOLARSHIP: Help us raise $8,000 to provide parents-in-need with scholarship access to Equip’s Gender Incongruence Course and reach more churches in 2023. Your support ensures money is never a barrier to parents and pastors getting the resources they need.

Get on-demand access today, read articles about Equip’s perspective on gender incongruence, and give to scholarship parents-in-need at the link in bio

#genderincongruence #genderdysphoria #trans #transgender #genderethics #lgbtqinchrist #pronouns #transition #transgendersupport #transgenderawareness #transgendercommunity",222,"04/03/2023 09:15",https://www.instagram.com/reel/CqlI2ifMg5a/,"IG reel",,Lifetime,434,133,1,5,40,
17967035054425825,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","I need a workaholism detox

Over the past few years, I've gotten in the habit of choosing to work 70 hours a week and neglecting my family of brothers and people from my church who I've committed to love.

More than a year ago, the board of Equip and I began planning for me to take another sabbatical. Rest assured, this isn't the result of some critical moral failure or a sabbatical-before-quitting.

We just want to make sure I'm taking preventative steps to ensure I can faithfully labor for the sake of the kingdom for decades to come.

To help with this, over the next two months, I'm getting off of social media, bumping my counseling clients to August, taking a break from the work of Equip, and generally avoiding productivity and intensity.

My hope is to rediscover the value of slow, unplanned, ordinary time with the people I love. To that end, I'll mostly spend the next two months in Nashville, hanging out with my people.

Starting June 1st, please pray for my sabbatical, that I would hold these boundaries and lean into any discomfort that comes up.

Pray that I would meet the Lord in unhurried time with my family of brothers, visits to the zoo with my godson, laid-back dinners with brothers and sisters in Christ, and leisurely walks in the sun.

See you in August!

P.S. If you have any ideas for ways I can rest well, feel free to pass them on!",0,"05/25/2023 08:13",https://www.instagram.com/p/Csq7YAcxaxJ/,"IG carousel",,Lifetime,4425,554,2,64,13,
17975779391336914,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Trans people are image-bearers, too.

God values them greatly.

We, the Church, must learn to better love those God loves.

Help Equip train parents and pastors to offer God's love and wisdom for trans people.

We’ve already raised $4,600 toward our $8,000 goal, but we’re still $3,400 short.

Give to ensure that money is never a barrier to Christian leaders getting the tools they need to make their homes and churches places where LGBT+ Christians can thrive according to God’s wisdom.

Each donation of $50 provides one family with access to Equip’s Gender Incongruence Course, and a new recurring donation of $50 provides 12 families with access.

Donate today at the link in bio

#genderincongruence #genderdysphoria #trans #transgender #genderethics #lgbtqinchrist #pronouns #transition #transgendersupport #transgenderawareness #transgendercommunity",0,"05/22/2023 08:31",https://www.instagram.com/p/CsjPBpeL_bP/,"IG carousel",,Lifetime,3595,220,10,7,18,1
18248826913080733,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Disagreement about sex ethics is rarely about sex ethics

I recently went on the Good Christian Co. Podcast with Robby Ortiz and Joshua Delp to talk about faith and sexuality.

At one point, they asked me how to navigate conversations where people disagree about the morality of gay marriage and gay sex.

My solution: Don't talk about sexual ethics.

Instead, talk about more fundamental theological questions.

Most of the time, if I've come to a different conclusion than someone else regarding sexual ethics, it's merely a downstream result of disagreement on one of three much more important theological questions:

1. Is there a God?
2. Does that God know what's best for me better than I do?
3. Do we discover that God's best for us by reading the Bible with the historic Church?

Two people seldom answer ""yes"" to all three of those questions yet hold meaningfully different opinions about sexual ethics.

So if you do disagree, avoid emotionally-loaded and seemingly high-stakes conversation about sexual ethics.

Instead, talk about whether there's a God, whether that God know's what's best, and how we discover what that God's best is!

Listen to the rest of the podcast at the link in bio

#sexualethic #gaychristian #sideb #lgbtqinchrist #discernment #vocationalsingleness #sexualstewardship #gaymarriage",0,"05/19/2023 09:34",https://www.instagram.com/p/Csbn2pCRnoC/,"IG carousel",,Lifetime,5765,505,59,17,164,8
17984829677102792,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Can singles do more kingdom work than parents?

Jesus intended vocational singles to live ""for the sake of the kingdom"" by reinvesting the time and energy they would have used to raise kids to instead do even more non-child-raising kingdom work.

50% more.

Let me explain.

According to the US Bureau of Labor and Statistics and a bit of back-of-napkin math, the average parent spends the equivalent of two decades of 40-hour work weeks raising children.

Between the ages 25 and 65, that’s nearly a third of their total capacity for kingdom work dedicated to the important kingdom work of raising children—but therefore unavailable for other kingdom work.

The average parent also has to earn twice as much as a single person to provide for a nuclear family.

Yet teachers in low-income neighborhoods, pregnancy resource center workers, nurses at free clinics, advocates for refugees, and mental health therapists are often the most underpaid.

Parents often cannot afford to take the jobs directly addressing the plentiful harvest of brokenness.

That's why Jesus established vocational singleness!

—to make a meaningful minority of Christians available to take that third of kingdom work capacity and leverage it for something other than raising children.

Jesus hoped for a powerful minority of Christians having 50% more time and energy than parents to heal our communities with undivided attention.

To be clear, I'm not saying that parents can't do kingdom work other than raising children. And raising children is *essential* kingdom work.

At the same time, I consistently hear from parents that, after 8 hours at a job to put food on the table and 4 hours of after-school parenting, they feel like they don't have much to give other kingdom work endeavors.

What if instead of shaming parents for not doing it all, we instead honored their kingdom work of raising children and simultaneously supported single Christians to leverage their availability for the sake of kingdom work with undivided attention?!

Watch/read the full message at the link in bio.

#sexualethic #discernment #vocationalsingleness #sexualstewardship #kingdomwork",0,"05/17/2023 09:26",https://www.instagram.com/p/CsWdSgBLyDU/,"IG carousel",,Lifetime,3334,195,16,24,39,3
17950116887614886,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","If you died today, what happens next?

When my grandmother recently died, I was reminded of a central theme of Lent: From dust we came, and to dust we shall return.

Evangelicals over-emphasized ""just get to Heaven"" for decades, neglecting that Jesus ALSO called us to seek fullness of life for ourselves and our neighbors on this side of heaven. But the key word is ""also"".

The materialism of the West is, in part, designed by the Enemy to distract us from death. We approach the hard reality that we will die and God (if He exists) will decide our fate, but then the Enemy draws us away with romance, social media outrage, & self-realization.

The Enemy hopes to entertain us until the day we die, keeping us from ever having to face reality. These days, the pendulum has swung the opposite direction.

Some Christians eagerly teach about fullness of life today, but they hesitate to teach about eternal life tomorrow: ""It's not polite to press people to think about death and where they will spend forever. They seem entertained. It wouldn't be nice to disturb them.""

Don't get me wrong, how we care for this world matters (because it will continue into the next life) and how we care for our neighbors matters (because the Scriptures say that Christians' love for each other + those on the margins is what will convert).

But we can only make the most of life today and have the most life tomorrow if we face death.

Here's some hard reality questions that we all need to ask, including me:
What if there's a God, and that God isn't who I want Him to be?
Is there anything the Enemy has been enabling me to avoid, but I need to face?
What would happen if I died today?
Am I willing to receive God's grace and allow it to more fully re-prioritize my life?

What's your answers?",109,"05/15/2023 10:22",https://www.instagram.com/reel/CsRaHz8vfpl/,"IG reel",,Lifetime,2738,122,4,0,11,
17970078101181734,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","What if Mother's Day sermons followed Luther and Calvin's lead by focusing on the perpetual virginity and the ways Mary is simultaneously the ultimate mother and a preview of our sexless New Kingdom future?

#mothersday #perpetualvirginity #mary #mothersdaysermon #mothermary #celibacy #vocationalsingleness

(Note, I'm using ""sexless"" here to mean ""not having sex"". I'm not using it to suggest that maleness or femaleness will cease to exist.)",14,"05/13/2023 10:25",https://www.instagram.com/reel/CsMQvB-NZba/,"IG reel",,Lifetime,5152,172,12,42,29,
17950313972616861,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Marriage isn't the solution to untamed lust

Some claim that ""better to marry than to burn"" in 1 Corinthians 7:9 means that people who find abstinence challenging are automatically called to marriage.

That's a common misinterpretation that has particularly hurt mothers and children.

Pastors have used 1 Cor 7:9 to encourage people (particularly men) struggling with sexual purity to get married as a way to contain their sexual temptations.

But instead of fixing the problem, using ""marriage as a remedy for weakness"" just multiplies the number of people impacted by the lack of self-control, leading to infidelity, divorce, and destroyed lives.

To put it bluntly, if you continue to struggle mightily with sexual immorality after months of genuine effort, then you need sex addiction recovery, not marriage.

Every Christian, regardless of calling, can and must learn to discipline their sexual desires. Fiancés should not settle for less.

If ""marriage as a remedy for weakness"" wasn't Paul's intended message in 1 Cor 7:9, then what was?

Rigorous scholarship reveals that Paul was instead narrowly addressing a group of Corinthian Christians who had adopted strange Gnostic beliefs that their bodies didn't matter, so they were claiming to be ""celibate in spirit"" while engaging in unrestrained sexual immorality.

Paul was chastising people who claimed to be celibate but weren't earnestly trying to be celibate.

Regardless, we are right to read 1 Cor 7:9 as a caution against publicly committing to vocational singleness unless we have the gift from God to do it well.

But Jesus said the same about Christian marriage in Matthew 19:11: don't commit to Christian marriage unless you have the gift from God to do it well.

To thrive in either vocation, we must receive the gift from God to do that vocation well.

How do we figure out whether God wants to give us the gift of vocational singleness or Christian marriage? How do we put ourselves in a place where we can step into and receive that gift?

Discernment!

Read the rest at the link in bio

#sexualethic #gaychristian #sideb #lgbtqinchrist #discernment #vocationalsingleness #sexualstewardship",0,"05/11/2023 09:25",https://www.instagram.com/p/CsHAdPwrm-Z/,"IG carousel",,Lifetime,6213,725,135,25,219,25
17894787419803877,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Want to work with us?

Equip is hiring an Associate Director of Operations to help us move our mission and vision forward! Maybe that's you?!

We're looking for somebody who can provide structure and organization to the inner workings of Equip—all so that we can partner with more pastors, parents, and churches.

Equip's Associate Director of Operations will
- Cultivate leads and prepare proposals
- Maintain databases and assist with logistical details of training preparation
- Follow up with training attendees
- Manage Equip’s calendar
- Collaborate on fundraising / Annual Campaign activities
- Manage donor relationships
- Coordinate Equip’s major Events
- Oversee email communications

Full-time, Nashville or remote. At least two years of relevant professional experience.

Check out the full listing at the link in my bio.

If you're interested, send a resume and cover letter to Equip's Vice President Amber Carroll at amber@equipyourcommunity.org

#sexualethic #gaychristian #sideb #lgbtqinchrist #discernment #vocationalsingleness #sexualstewardship #hiring #workwithus",0,"05/09/2023 10:04",https://www.instagram.com/p/CsB7RxnxG2Y/,"IG carousel",,Lifetime,2454,74,16,2,4,1
17979309074173309,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","grateful that I get to travel across the country teaching pastors and parents how to better embody God's wisdom for everyone's sexual stewardship

also, grateful that the prop plane getting me to the church this past weekend didn't fall apart (and that I got to see this beautiful rainbow close up)",0,"05/08/2023 09:09",https://www.instagram.com/p/Cr_QPXAv1MG/,"IG carousel",,Lifetime,2369,241,0,4,2,
17873723492837853,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","How did God call me to lifetime singleness?

By the end of college I'd experienced long periods of singleness and studied Jesus and Paul's words about vocational singleness. While I was out to a lot of people, I also ended up dating a couple of women, uniquely falling in love with them, and almost got engaged.

So despite my sexuality, I knew that Christian marriage could work for me. But the Holy Spirit made clear to me that I wasn't supposed to go take the gift I preferred.

Instead I was supposed to ask, ""God, do you have a preference for whether I pursue vocational singleness or Christian marriage?""

Then, unbeknownst to me, God led me through a time-tested process of discernment: I dug deeper into historic theology of vocational singleness and Christian marriage.

I met with my therapist and mentors to make sense of my fears around both vocations. I read ""God's Voice Within"" by Mark Thibodeaux to develop my capacity for general Christian discernment.

I gained clarity about the kingdom work I was called to and increasing peace about passing on the work of raising kids to give myself fully to the work of Equip, being a therapist, and public discipleship around vocational singleness.

I started building the Nashville Family of Brothers as a place where I could find lifelong, lived-in family.

And I made 1-year and then 3-year commitments to my singleness and my intentional Christian community to seek confirmation from the Lord for my callings (all covered by the prayer and wisdom of mentors).

Are you single? Are you willing to ask God whether He has a preference for you? What's the first step you could take in your discernment?

#sexualethic #gaychristian #sideb #lgbtqinchrist #discernment #vocationalsingleness #adventuresintheology",90,"05/05/2023 09:14",https://www.instagram.com/reel/Cr3iVl9Pj_Z/,"IG reel",,Lifetime,3450,196,16,11,39,3
17966472119240501,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Yes, married people can lust after their own spouse.

I recently went on the Goodlion Podcast to explore a variety of questions in the intersection of faith and sexuality, including the different ways broken sexuality shows up in our world.

Christians may be quick to point to the broken reality of same-sex attractions, but everyone's sexuality is broken. Straight people lust after people they aren't married to. Married Christians can even lust after their own spouse.

Let me explain.

We lust when we sexually objectify someone in order to consume/use them (or their image) in selfish ways. This is most obvious in marriages where there is any sexual, physical, or emotional abuse occurring.

But married people share with me that sometimes, when they're not doing well, they look at their spouse in the same ways as they look at people in pornography: They want to use their spouse to make themselves feel better. And then they do so.

That's just as much a sin as watching pornography. That's just as much a sin as a Christian lusting after someone of the same sex.

To be clear, just because lust is *part* of someone's motivations doesn't mean it's the entirety of their motivations. Most of the time, desire is a mix of motivations, some broken and some holy.

But most of the time, lust is at least a small part of marital desire. Does this mean that married Christians should cease all marital intimacy with each other because there's a possibility of lust? No.

It just means that, like friendship outside of marriage, connection inside of marriage can't be pursued unthinkingly. There is no context where Christians can enjoy and take from each others' bodies unthinkingly.

In every relationship, we must ask ourselves, ""Am I connecting with this person with motivations of self-giving love and to communicate my care to them? Am I selfishly taking from them? Am I objectifying them?""

We need to ask these questions in marriage, in dating relationships, and in friendships. Everyone needs to pause and examine their motivations.

When gay Christians committed to historic sexual ethics seek to meet their intimacy needs in healthy ways, is it complicated?...[con't in comments]",0,"05/03/2023 09:26",https://www.instagram.com/p/CryaPG-Lyy5/,"IG carousel",,Lifetime,5182,304,39,43,95,1
18220750495169055,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Discernment is the solution to kingdom work shame and inefficacy

Social media, churches, parents, mentors, and friends unintentionally—and sometimes intentionally—set up expectations that Christians must do and have it all.

Christian marrieds raising kids are burdened by expectations to display the gospel with their marriage, raise their kids to embrace the gospel, fund the gospel through their job, and somehow find time and energy to address every social injustice and moral liability in our world in a way that preaches the gospel.

Single Christians experience similar expectations, but exchange marriage and children for a lack of support and second-class status in their churches. 

Many Christians feel an obligation to effectively multitask a dozen kingdom work opportunities. Yet kingdom work multitasking is ineffective (as with any multitasking), leading to shame.

Instead, Christians are actually called *not* to have it all and called *not* to do it all. Accepting our specific, short list of kingdom work callings is the key to contentment for the individual and kingdom building in the community.

But how do we know what kingdom work we're called to? Discernment.

First, Christians have historically understood the Scriptures to teach that God calls a meaningful number of people to Christian marriage, recognizing that being a faithful spouse and a loving parent is a full-time job.

Christian parents have been encouraged to see the work of raising their kids as important kingdom work. While parents can certainly serve the kingdom in additional ways, God wants to unburden Christian parents from the expectation of doing it all.

Second, the Church simultaneously taught that God calls a meaningful minority of Christians not to marry or have kids.

Rather, these Christians are meant to use the time and energy they would have devoted to children to instead address other kingdom work that requires undivided attention.

And third, Christians have historically understood that instead of choosing between Christian marriage and vocational singleness for ourselves (and anxiously second-guessing whether we choose rightly), we're supposed to ask God...[con't in comments]",0,"05/01/2023 09:29",https://www.instagram.com/p/CrtRAJGLfOC/,"IG carousel",,Lifetime,2258,134,11,2,22,
