"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Follows,Comments,Saves
18045415519661899,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Why would an lgbt+ person every want to attend my church? particularly if they're not a Christian and disagree with our sexual ethics? Honestly, that's a pretty universal question:

Why would anyone want to be a part of a church that calls him or her to inconvenient stewardship of any kind? It seems to me that Jesus is particularly interested in the lonely.
Those who are yearning for thicker community.

People who are disillusioned with the brokenness of the world and looking for an opportunity to make the world better alongside others. So be a be a church that offers that.

Cultivate family in the body of Christ better than people can find anywhere else that invites the lonely in and loves them deeply. 

Challenge your church to prioritize serving the poor and needy in your city, and then invite purposeless people to be on mission with you to bring forth Christ's kingdom.

Basically, offer something so compelling and so beautiful that individuals will want to continue to be a part of your church despite other aspects they strongly disagree with. And then trust the Holy Spirit.",71,"04/06/2024 09:00",https://www.instagram.com/reel/C5bQdQnJvKL/,"IG reel",,Lifetime,2118,99,10,3,7,25
17859845667120007,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Turning the cheek (when I ""think"" I'm a victim, and otherwise)

When I play back the tape on a lot of conversations from the past decade that ended in others feeling unheard, disrespected, and misunderstood, many of them would have gone better if I had just chosen to turn the cheek.

But turning the cheek is hard for me. Maybe it's difficult for you, too.

To be clear, when Jesus talks about turning the cheek, he's talking about responding to insult. He's referring to times when someone offends you or falsely accuses you.

But I'm probably not a victim as often as I think I am.

Too often, I've felt ""offended"" when I was probably in the middle of hurting the other person much more than they were hurting me. I've resisted turning the cheek, particularly when I've thought it meant I had to become a doormat. Plus, I've resisted turning the cheek because I'm a broken person who puts my own needs above others', resists criticism, and struggles with entitlement and distrust.

In the moment, I failed to fully see my own responsibility. I failed to see how others felt intimidated, silenced, and bulldozed.

Some reading this who've been on the other end of conflict with me are all too familiar.

Thankfully, I brought this up with my mentor recently, and he pointed me to Dallas Willard's understanding of Christ's words. Willard offered a simple equation:

Turn the cheek = Stay vulnerable + Practice restraint

In the past I've often hidden my tender parts from myself and from others. I've hidden my fears and sadness because it didn't feel safe. So I showed up in cold, calculated ways and unwittingly wielded logic as a weapon.

Or I connected with more of my emotions, experienced fear that my tender parts would be mistreated by another, and then threw up high and thick defensive walls by puffing up as big as I felt like I had a right to.

I defended myself as much as I felt like was ""fair"" to make myself feel as safe as possible as quickly as possible. Often, I over-connected with my anger, leaving others feeling overwhelmed and intimidated.

Instead I need to stay vulnerable and practice restraint… [con’t in comments]",0,"04/10/2024 08:19",https://www.instagram.com/p/C5lfJ9xr4oI/,"IG carousel",,Lifetime,2099,100,4,,7,18
17917108532814081,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Fear, disappointment, betrayal, & hope re: Richard Hays

A blurb recently appeared on the Yale University Press website for a new book by Dr. Richard Hays and his son (out Sept 2024) in which it seems he'll reveal his change to a revisionist sexual ethic.

Like me, many Christians over the past few decades have read Hays's 1996 ""Moral Vision of the New Testament"" and referred back to his earlier work to justify our commitment to historic sexual ethics.

When theological heavyweights like Hays change their minds, it's disorienting for many. For me, it led to a now all-too-familiar cycle of fear, disappointment, betrayal, and hope.

I say ""now all-too-familiar"" because Hays is just another in a line of trusted teachers who have changed their minds. I've not yet read Hays's new book and don't know anyone who has, but my hunch is it won't have much new to say.

Every time one of these books comes out, some part of me gets my hopes up that it'll present a truly compelling argument. But then it doesn't. At this point, I expect to be underwhelmed.

I think what's most difficult about news like this is that it feels like another case of churches and leaders serving straight people at the expense of gay people.

For decades, gay people have wanted to obey God and draw near to His presence. We didn’t ask the Church to abandon God’s teachings. We just asked the Church to notice our feeble hearts and minds—broken by the wounds of the closet—and carry us a little closer to God.

But for generations, the Church refused because its leaders were afraid to make straight people uncomfortable. Instead, they coddled the homophobia of the masses.

Fast forward to the present, homophobia has waned and been replaced by straight embarrassment with God’s wisdom. Many churches have once again responded by serving straight people at the expense of gay people.

They ignored the painful cries of generations of gay people who just wanted help following God’s wisdom. Yet when straight people start feeling mild discomfort from having to defend God's wisdom at dinner parties, churches are willing to abruptly abandon that wisdom.

Thankfully, there's hope…

Read full article at the link in bio",0,"04/16/2024 06:48",https://www.instagram.com/p/C50xkXrLBZZ/,"IG carousel",,Lifetime,4541,422,57,6,49,106
17976474899544785,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","If it’s not a salvation issue, why not just be with a man?

You guys know that I don’t think our beliefs or behavior around sexual ethics is a salvation issue. There are people I disagree with about gay marriage, gay romance, and gay sex who will be in heaven.

I recently shared about that at a church. While the head pastor and I were later debriefing the training, he asked me an honest question: if it’s not a salvation issue, why not just be with a man?

Why not have your cake and eat it too?

I said, “Well, because I actually believe this stuff! I actually believe that following God’s wisdom will lead to the best life possible for me.

“I think leaning into vocational singleness, leveraging my availability to find deep meaning and satisfaction in my kingdom work, and helping build an intentional Christian community where I find lifelong lived-in family (that’s just as love filled as any marriage) will all lead to a much better life than if I chased gay romance and marriage.

“I don’t think God’s wisdom about gay sex is arbitrary. I don’t think that God is holding out on something good on me. 

“I’m convinced by the Scriptures and by personal experiences that God knows what He’s talking about. I touched the hot stove and I got burned!

“So far, following historic sexual ethics has seemed to lead to better things in my life than the people I’ve seen abandoning God’s wisdom over the past 15 years.

“I don’t think there’s an option to have one’s cake and eat it too. Ultimately like all opportunities and invitations like that, it’s a trap. I truly believe that the best plan is to follow God’s wisdom.”",104,"04/23/2024 08:13",https://www.instagram.com/reel/C6G7zpJrVf0/,"IG reel",,Lifetime,4188,354,25,2,50,81
18140804296316374,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Wait, gay sex isn't a salvation issue?!

I recently posted a video sharing why I think God's wisdom for our sexualities is worth following (Proverbs 4:6-7, Matthew 7:24-25).

I made a passing comment at the start of the video that I don't believe gay sex is a salvation issue. Some were surprised, so I wanted to explain.

First, any suggestion that same-sex sexual sin is worse or less forgivable than greed or idolatry or any other sin is inconsistent with the Scriptures. And often homophobic.

Second, while the Scriptures warn that sexual sin seems to impact the sexual sinner more, the Scriptures never suggest that Christ's work on the cross atones for sexual sin any less.

So setting those aside, let's talk more generally about whether a Christian who consciously and repeatedly refuses to repent for a specific sin loses their salvation.

Call me an old-fashioned evangelical, but I'm convinced that all a person needs to do to become a Christian is to privately confess to Jesus, ""I'm a sinner. I need a savior. Jesus, I want your forgiveness for all my sins past, present, and future. I want you to be the Lord of my life, even though I know I'll fail at that every day until I die or You return.""

And then I'd encourage the new believer to be baptized publicly as a public confession of their faith.

When I prayed that prayer years ago, I repented, in advance, for all sin I would commit and Jesus forgave, in advance, all sin I would commit.

If a person fails to repent of a specific sin in the future, I don't think their salvation is in jeopardy, because Jesus has already forgiven them for that sin. That's how big the love of Jesus is!

Some might respond, ""Are you saying there's nothing a person can do to lose their salvation? Nothing?""

I'm not a Calvinist. I don't believe in once-saved-always-saved. I also don't think Jesus revokes our salvation. Nor do I think there's anything another person or the Enemy can do to take our salvation from us.

The only person who can change our salvation status is ourselves. [...con’t in comments]",90,"04/25/2024 08:22",https://www.instagram.com/reel/C6MG-nbLLOz/,"IG reel",,Lifetime,6423,291,52,10,61,101
18007879496420290,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","The challenges faced by gay Christians following historic sexual ethics are the symptoms of a larger problem: churches are selling romance idolatry as the solution to everyone's loneliness. But it's not working for anyone, gay or straight, married or single.",16,"05/01/2024 07:33",https://www.instagram.com/reel/C6beqSXJLAl/,"IG reel",,Lifetime,5355,299,22,6,35,39
18235024978251187,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Happy birthday Jim! When the chips are down, you keep going!

Jim and I recently spent some time in NYC celebrating his continued health and my lifetime commitments :)

We stuffed a few days with lots of food and music. The highlight was seeing Hadestown on broadway. One of the big numbers has these lyrics:

""What you gonna do when the chips are down?
Now that the chips are down?
Help yourself, to hell with the rest?
Even the one who loves you best?""

Over and over again, when the chips are down, whether in our friendship or Jim's career or his health, he always gets back up. He sticks around. He doesn't run.

Every time life asks Jim ""What you gonna do...?"" he has repeatedly responded ""Keep going!""

Jim, I don't know where I'd be without your friendship :)

I love you! Happy birthday!!!",0,"05/02/2024 08:42",https://www.instagram.com/p/C6eLW6VLBVS/,"IG carousel",,Lifetime,2027,185,0,,4,1
17957959985769685,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Don’t worry..God has a beautiful plan for your life…

You may have seen this demotivational poster of St. Sebastian in the background of one of my recent videos. I read about something similar in Eve Tushnet’s book “Tenderness” and I couldn’t resist designing and printing a version for myself.

The sarcasm and double meaning are deeply satisfying.

A quick glance might lead the viewer to think it’s merely a baroque image with a trite-yet-encouraging Christian message.

But then you notice that the image shows St. Sebastian, particularly known for his martyrdom. And the caption takes on new meaning.

We like the idea of trusting God when we assume that He’s got plans of worldly comfort, wealth, and prosperity for us. 

But what if God’s roadmap for us leads to martyrdom of some sort? What if He’s planned humiliation, pain, and abandonment for us?

Are you still interested? Am I?

That’s why I find the tongue-in-cheek message of this poster so satisfying. Many days, it feels like it accurately contains my doubt and hope and surrender.

The cherry on top?

St. Sebastian is considered by some to be the patron saint of the gays :)",0,"05/07/2024 08:55",https://www.instagram.com/p/C6rE0_exYv3/,"IG image",,Lifetime,3982,284,15,1,14,38
18018535310243348,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Why isn't God's wisdom leading to good and beautiful?

A few weeks ago I was honored to speak at chapel for Asbury Theological Seminar about God's true, good, and beautiful for gay people. 

Too often, parents, siblings, and friends have noticed that what’s true doesn’t seem to be leading to good and beautiful in the lives of the LGBT+ people they know. 

Has this been your story? Your family's story? Your church's story?

We’ve got queer siblings, children, and friends who’ve tried mightily to steward their sexualities according to God's wisdom but have suffered mightily in the process.

Instead of thriving according to historic Christian sexual ethics, obedience to Christ’s truth has too often led to loneliness, depression, loss of faith, or loss of life for the LGBT+ people we love.

They tried harder than anyone else we know to make Jesus happy, but the pain of their striving seemed to leave Jesus feeling further and further away.

Something doesn’t fit.

Christians seem to know intuitively that what’s true should also be good and beautiful. So when it comes to sexual ethics, it’s not good enough for historic Christian sexual ethics to be (just) true.

If God's wisdom is truly true, then it should be leading to undeniably good and beautiful things in the lives of gay Christians who follow them. So how do we make that a reality?

Churches have got to do what it takes to bring the good within their reach of LGBT+ people. To get what's true to lead to good and beautiful for LGBT+ people, the Church must do what it takes to make a life of thriving accessible.

In particular, we've got to protect kids from the wounds of the closet, raise the bar for everyone’s sexual stewardship, and ensure singles find lifelong lived-in family.

To learn more about how churches can make God's good and beautiful a reality, watch a recording of the chapel or read the full text at the link in bio",0,"05/09/2024 09:23",https://www.instagram.com/p/C6wRnQbvfUy/,"IG carousel",,Lifetime,3314,300,34,3,6,87
18044104138647046,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Happy Mother's Day from Steeplechase!

My mom likes dressing up, buying fun accessories, and fancy outdoor parties.

Every time my mom helped me move out of college, she yearningly talked about eventually going to the Nashville horserace that always happens on Mother's Day weekend (and move-out weekend).

Well, this year we made it a reality!

Complete with great friends, food, and a first attempt doing our own tailgate at Iroquois Steeplechase :) 

Mommy, thanks for your unwavering support and endless patience. Your love has shaped me into who I am today.

Happy mother's day!

#tailgatecontest @yourwilliamson",0,"05/12/2024 11:54",https://www.instagram.com/p/C64RQGaP-ka/,"IG carousel",,Lifetime,2437,272,3,,3,6
