"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18050171894513537,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Do you feel stuck in singleness?

Many people (gay and straight) feel stuck in a singleness they did not choose.

What if you owned your celibacy and found a way to thrive in it, even if it wasn’t your first choice?

Embracing your singleness is a process:

1. Mourn Your Losses - Acknowledge and grieve anything you feel like you might lose by accepting celibacy, including hopes for marriage. Share your feelings with God, seek support from a therapist or empathetic community, and address unresolved grief to move forward.

2. Develop Discernment skills - Learn to discern God’s will by engaging in prayer, reflecting on Scripture, consulting spiritual mentors, and taking small steps toward decisions. Be patient, seeking input from trusted friends and faith communities.

3. Deepen Your Understanding of Christian Vocations - Study the biblical and historical teachings on vocational singleness and marriage. Recognize both as equally challenging and rewarding paths for building God’s kingdom and bringing life to others.

4. Identify Your Kingdom Work - Explore how your availability in singleness can uniquely serve God’s purposes. Consider how your gifts can bring healing, justice, and wholeness to others, and seek purpose in your calling.

…and finally and most importantly…

5. Find or Build Family: Pursue stable, lifelong relationships that reflect God’s love. Whether through biological family, church communities, or intentional Christian groups, prioritize creating a supportive, permanent family environment.

This road can feel long, so it’s okay to make incremental commitments.

Start with short-term commitments to vocational singleness to provide clarity and freedom. 

Then, when you feel ready, consider making a public lifetime commitment, celebrating the value and joy of your vocation.

Curious about the unique challenges for LGBT+ Christians or how to take practical steps?

We’ll explore those and more in Equip’s next monthly webinar, led by me! It will be on Tuesday, February 11th at 4 pm Central Time.

Register today and secure your spot at the link in bio!",31,"02/04/2025 08:10",https://www.instagram.com/reel/DFqDRLqxXYe/,"IG reel",,Lifetime,2016,1108,38,1,,7,8
18345034525159705,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","I’m officially on YouTube — and we’re going deeper.

Instagram has limits. YouTube gives space for longer conversations, more nuance, and the kind of content that doesn’t fit in a 60-second reel. This clip is just a glimpse of what I’ll be sharing there.

So if you’ve appreciated the questions I raise here — about singleness, intimacy, sexuality, and spiritual family — make sure to like + subscribe to my channel (link in bio) to keep up with everything coming.

And I’d love your input: What topics would you want me to explore in longform video format? Drop your ideas in the comments ⬇️

#SexualEthic #VocationalSingleness #SexualStewardship #Discernment #ChristianCelibacy #SideB #GayChristian #LGBTinChrist",28,"04/10/2025 09:10",https://www.instagram.com/reel/DIRbKzFRyC3/,"IG reel",,Lifetime,4495,2210,79,11,1,0,37
18337742581084219,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Can you believe in social justice…but still say “no” to gay marriage?

Many Christians today are eager to pursue biblical justice—standing against racial inequality and advocating for female leadership. But when it comes to sexuality, that same passion for justice often feels at odds with historic Christian sexual ethics.

Is it possible to believe in social justice and still uphold a historic Christian sexual ethic?

In Equip’s next monthly webinar, we’ll wrestle with that tension head-on.

We’ll explore:
- what’s transferable between biblical racial justice and God’s best for LGBT+ people?
- how barriers to queer thriving according to God’s wisdom are sometime systemic
- steps church can take to make LGBT+ whole and make historic sex ethics more accessible

I’ll be leading this honest, hopeful conversation on Tuesday, April 22nd at 3 pm Central Time.

DM or comment “justice” for the registration link :)

Let’s seek justice—not by walking away from Scripture, but by living it more fully!",21,"04/08/2025 09:41",https://www.instagram.com/reel/DIMU6RcRSeU/,"IG reel",,Lifetime,4822,2282,62,3,,55,19
18044423702583185,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Does homophobia shove some gay men toward fascism?

Stephen Adubato and I have been cross-blogging on our respective Substacks/platforms. I was honored to write a piece for his spaces exploring the seemingly parallel yet contradictory trends of a new ex-gay movement (under the name of reintegrative therapy) and increased pansexual identification among GenZers. DM/comment “ex-gay pansexual” for the link.

Now it’s Stephen’s turn. And he has not disappointed.

In “​​From Drag to Dimes Square: The Return of the Homofascist”, Adubato explores the strange historical correlation between gay men and fascism.

Conditioned by the closet to see the world as an unapologetic contest of power (one which they lost for most of their younger years), gay men channel a keen eye for social dynamics—developed in the closet for self-preservation—into a potent force for cultural domination.

In response to homophobia often packaged as accusations of efficacy, gay men are drawn to hypermasculinity.

Oddly, fascist movements that telegraph anti-LGBT messages nonetheless attract gay men who’ve become infatuation with domination, hypermasculinity, and a desire to belong.

Adubato’s piece explores the roots of this relationship deeper, the inadequate responses of Christians, and an invitation for Christian leaders to offer disillusioned gay men something better.

What if we built a Church where same-sex attracted men never had to go into the closet in the first place? Were never tortured by homophobia? Were valued, invited on a mission to make the world right alongside Jesus, and found belonging among their siblings in Christ?

DM/comment “homofascism” for the link",0,"04/03/2025 09:01",https://www.instagram.com/p/DH_YotKRvAS/,"IG carousel",,Lifetime,6510,2765,97,21,4,21,30
18047184605587118,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","photo dump ft. cross-country skiing, mother-son time, & spriiiiiiiiiiiiiiiing",0,"04/01/2025 10:33",https://www.instagram.com/p/DH6ZhizP3OV/,"IG carousel",,Lifetime,3630,1122,107,0,,0,0
18057452669119920,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","If my photo was a Studio Ghibli movie...

WHISPERS OF THE ANDES: Sometimes the quietest voices carry the oldest songs

""In the Andes of Ecuador, a weary traveler befriends two llamas with a secret: they’re guardians of a fading valley losing its memory to a restless wind spirit. Drawn into their quiet world, he must recover a forgotten melody to restore the land—and discovers that sometimes, the gentlest voices hold the greatest power.""",0,"03/28/2025 07:38",https://www.instagram.com/p/DHvyTUjRM9Z/,"IG carousel",,Lifetime,3811,1597,139,3,,10,3
17961691793763015,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Sitting the fence on LGBT+ topics hurts gay Christians. 

It limits a church's ability to take practical steps to support thriving according to God's wisdom.

It is straight comfort at the cost of gay brothers and sisters in Christ.

#sexualethic #gaychristian #sideb #lgbtqinchrist #discernment #vocationalsingleness #sexualstewardship",22,"03/27/2025 08:29",https://www.instagram.com/reel/DHtTTHJpiWB/,"IG reel",,Lifetime,2922,1626,68,2,,8,17
18073673272800415,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Did Jesus make you for I-am-yours friendship?

Recently, I preached two chapel messages at Asbury Theological Seminary. This second message focused on building community through friendship. 

Many of the mothers and fathers of our faith depended on what's called ""spiritual friendship"" to sustain their ministry: David and Jonathan, Ruth and Naomi, Jesus and John, and Paul and Timothy. 

I'm particularly struck by Ruth's words: ""Your people will be my people and your God my God."" 

It reminds me of romantic sayings like ""I am YOURS and you are mine."" We think of that sentiment as being reserved for something sexual. 

But Ruth here, and all of these spiritual friends, are reminding us that we are made for friendships where we can also say ""I am YOURS."" 

Not in a way that competes with a spouse, if we have one, or competes with our relationship with Jesus. But one that builds up both.

So don't be afraid of making friends who say ""I am YOURS."" 

It might be exactly what your loneliness and your relationship with Jesus needs!

DM/comment “spiritual friendship” for the link to the full chapel message.

#SexualEthic #VocationalSingleness #SexualStewardship #Discernment #ChristianCelibacy #SpiritualFriendship",73,"03/25/2025 09:34",https://www.instagram.com/reel/DHoRH_LJ03t/,"IG reel",,Lifetime,4093,2113,71,22,,10,16
18335421031084789,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","So many LGBT+ resources—where to start?!

Whether you’re digging into sexuality/gender/faith topics for the first time or trying to go deeper, it can be overwhelming to choose between the dozens of options.

I’ve pulled together my go-to list—finally, a curated set of resources broken down by category so you can skip the guesswork and get straight to what actually helps.

- my “Top 4 Resources” are at the top of the page
- sections for gay, trans, singleness/general sexuality
- tags for video, leaders, parents, & personal story
- links + descriptions for everything

Comment/DM me “resource list” and I’ll send you the link!

#SexualEthic #VocationalSingleness #SexualStewardship #Discernment #ChristianCelibacy #SideB  #GayChristian #LGBTinChrist",11,"03/21/2025 09:12",https://www.instagram.com/reel/DHd66eIRVBv/,"IG reel",,Lifetime,6352,3802,44,1,14,74,40
18061381180989367,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Single people, you need married friends. Married people, you need single friends.

And if you don’t believe me, your loneliness might be proof.

I recently led a seminar with the Boston Fellows focused on friendship as the solution to loneliness, regardless of whether you're single or marriage.

The problem: too many married people stop investing in friendships once they say “I do.” Too many single people assume they don’t belong in family life. Both are wrong.

If you only build friendships with people who share your life stage, you’re missing out on so much of what God designed community to be.

Married people—you need single friends who will remind you that your identity isn’t just “husband” or “wife” or “parent.” Friends who call you into deeper mission beyond just your nuclear family.

Single people—you need married friends who invite you into their homes, their chaos, their rhythms. Not just as an occasional guest, but as family.

The Church was never meant to be split into “singles” and “marrieds.” We were meant to do life together. So what would it look like to push against the trend?

Married people: Text a single friend and invite them into your real life—not just for special occasions.

Single people: Stop waiting to be included. Show up. Offer to help. Make yourself part of the family.

Let’s stop doing life in silos. The friendships you’re missing might be the ones that change everything.

Oh, and if you’re supporting Equip, thank you. Your giving makes it possible for me to teach the next generation of leaders in spaces like the Boston Fellows. You’re helping Christians build real community in a world that desperately needs it.

#SexualEthic #VocationalSingleness #SexualStewardship #Discernment #ChristianCelibacy",101,"03/18/2025 09:22",https://www.instagram.com/reel/DHWONshJcI5/,"IG reel",,Lifetime,3933,2437,125,31,1,3,18
