"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Comments,Saves,Follows
17991673493418500,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Celibate Christians, today we celebrate the resurrection of a celibate Savior. His victory began bringing forth a New Jerusalem where all will experience belonging, without the need for romance or exclusivity.

Celebrate today!

Then let's get busy bringing forth the kingdom tomorrow.",30,"03/30/2024 14:02",https://www.instagram.com/reel/C5JxofzPU5n/,"IG reel",,Lifetime,2270,216,9,7,7,
17968590299586809,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","It's been 6 months?!

It's hard to believe it's already been 6 months since I made lifetime commitments to vocational singleness and the Nashville Family of Brothers.

Multiple people have asked, ""So, what's different?""

In most ways, not much.

But now I know who and where and what I'm committed to. When times get tough, I know that it's done. The commitments are made. There's a simple peace that comes from that. 

I don't have to worry anymore about whether making lifetime commitments is the right decision. Now, my job is to focus on making it work, making it worth it. My job is to be faithful to the commitments I've made.

Perhaps that's one thing that does feel different. I've been committed to celibacy and to kingdom work for years, but now those commitments feel weightier.

The pauses are longer and heavier when I'm tempted and pause to contemplate. Because I've not just committed to God, but also to my brothers, with my biological family and NFOB's Pastoral Advisory Board and friends as witnesses.

It's not been an easy 6 months, but I'm grateful for the fellowship and encouragement and iron-sharpening-iron that my brothers have offered me.

And for the simple things, like post-family dinner walks, followed by hot tea and reading in the living room.

May the next 6 months bring more delight and connection!",0,"03/27/2024 09:28",https://www.instagram.com/p/C5Bj96krIi_/,"IG carousel",,Lifetime,3014,331,8,15,8,1
18049696813613568,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","In an AskMeAnything a few months back, someone asked me what “authentic Christian masculinity” is.

Honestly, for me, “authentic Christian masculinity"" is whatever a biologically male Christian does while faithfully following Jesus.

I personally don't see much more than that in Scripture that's universal for all peoples in all places in all times.

P.S. I don’t mean any slight or insensitivity toward my Christians friends navigating gender incongruence or trans people.

**NOTE**: My initial caption included a line that oversimplified biological sex to reproductive organs in a way that could be offensive to some intersex people. I've removed that line from this caption thanks to gracious feedback from others. I’m still learning. Unfortunately, the line is still in a carousel image and can’t be removed without completely deleting this post (a step which some might see as me trying to hide my mistakes as opposed to admitting them here).",0,"03/25/2024 08:31",https://www.instagram.com/p/C48T6hdrwOJ/,"IG carousel",,Lifetime,4075,324,45,25,76,21
18021165704315618,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Is ""transition or suicide"" backed by science?

Eventually, every conversation about gender ethics and God’s wisdom for trans people seems to get to the point where someone claims, “Well, it’s transition or suicide.” And often, the conversation stops.

This matters, because we know 41% of trans people attempt suicide, as compared to 1.6% of the general population.

Trans people were made in the image of God and God highly values them. Yet the brokenness of this world has cruelly convinced many trans people that they aren't worth loving and that their precious life isn't worth living.

Stats like that demand attention. They can’t be ignored.

But should is “transition or suicide” mantra true? Has transition been scientifically proven to reduce suicide risk?

Long story short: No. Available research is inconclusive about whether hormonal or surgical transition effectively reduce suicide risk.

Some scientific research demonstrated that use gender-affirming hormones or puberty blockers was associated with a lower risk of suicidal ideation.

Yet different analysis of the same data found that males going through hormonal transition were more likely to plan suicide, to attempt suicide, and to require hospitalization for a suicide attempt.

Similar analysis found that 16- and 17-year-olds who received hormones were more than twice as likely to report a past-year suicide attempt requiring inpatient hospitalization.

A similar story emerges for surgical transition.

Scientific studies have consistently found that surgical transition effectively reduces gender dysphoria and leads to high patient satisfaction, but they fail to reduce depression and suicidality. A longitudinal study of surgical transition in Denmark found that while 21.2% of participants experienced a reduction in suicidality after transition, 15.4% of participants experienced an increase in suicidality after transition.

Available research does not demonstrate that hormonal or surgical transition effectively reduce suicide risk.

Running out of space, so read the full article, including references to scientific studies, at the link in bio",189,"03/18/2024 08:51",https://www.instagram.com/reel/C4qTu5hJngq/,"IG reel",,Lifetime,2738,179,22,11,63,
18008572715364277,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Some Christians get mad at me when I respect people’s pronoun and name preferences.

Here’s the deal, just because I honor someone’s request doesn’t mean I’m theologically affirming their decisions. It just means that I don’t want terminology to be a barrier to getting to know a trans person.

And this whole conversation can be confusing because different people use different words to mean different things. For example, at Equip, the ministry I help run, we use the term ""gender incongruence"" to mean ""an acute sense that one’s gender does not correspond with the experience typically associated with the person’s biological sex"".

And then we use the term ""transgender/trans"" as ""a general term for someone who experiences gender incongruence"" without communicating anything about their theological convictions or the extent to which they have transitioned.

Why do names and pronouns matter so much to trans people? 

Well, for those who experience gender incongruence, their biological pronouns can be a constant reminder of the pain and tension they feel every day. Some experience meaningful relief from that tension when they adopt different pronouns.

Using alternate pronouns (similar to identifying as gay, bi, lesbian, etc.) can mean as little as “I experience gender incongruence” or as much as “I am fundamentally a transgender person and must follow a trans cultural script to be true to self” (and everything in between).

In conversation with a trans person using alternate pronouns or a different name, I default to language mirroring as hospitality. I mirror their language out of respect, particularly if they're not a believer or I don't know them well.

I’m not affirming.

I’m just avoiding unnecessary tension over language and keeping the door open for future conversation.

Now, if a trans Christian friend (with whom I have decades of friendship and mutually holding each other accountable) asks me to use alternate pronouns, I'll likely ask them what that means theologically for them and continue dialogue.",149,"03/13/2024 08:21",https://www.instagram.com/reel/C4dYuSnppbX/,"IG reel",,Lifetime,3975,381,48,23,66,6
18033978808885054,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","I'm a disagreeable person, and that’s been a problem.

Classic personality tests like the Big Five OCEAN assessment identify a person’s level of agreeableness.

There are both constructive and destructive ways disagreeable people can show up in their families and workplaces.

For better and for worse, I'm a disagreeable person.

Life circumstances over the past year have increasingly forced me to face the fact that I'm a disagreeable person, take responsibility for the ways I've been destructively disagreeable, and grow in my habits of being constructively disagreeable.

Here's some typical traits of disagreeable people, including me:
1. Humble objection to something “wrong” (that can become combative/vindictive)
2. Careful directness (that can become harsh/harmful)
3. Wise risk-taking (that can become recklessness/narcissism)
4. Respectfully logical (that can become callous/insensitive)
5. Healthy doubt and skepticism toward people/institutions (that can become paranoia)
6. Modest self-interestedness (that can become selfishness/greed)

At the best of times, my disagreeability shows up as a willingness to say ""no"" when the crowd is saying ""yes"" to something inequitable, ineffective, inaccurate, or immoral.

At the worst of times, I can be a quarrelsome, overly suspicious, and conceited person who plays with fire and burns others—all in the name of logic.

Constructive disagreeableness has been essential to some of the most life-giving elements of my life. Equip (the LGBT+ ministry I started) and the Nashville Family of Brothers wouldn't exist without my disagreeableness.

I've been able to persevere as a gay Christian committed to historic sexual ethics (with repeated detractors on both sides), name what's not working for people like me, and push the Church to do better because of my disagreeableness.

But I've failed to keep my capacity for destructive disagreeableness in check. And it's catching up with me.

A mentor recently asked me to list times over the past decade when I later learned that my disagreeableness seemed to hurt someone:

I could identify 40 times.

40 times?!

That's unacceptable....[con't in comments]",0,"03/11/2024 10:13",https://www.instagram.com/p/C4YcWIoPk36/,"IG carousel",,Lifetime,3578,230,15,23,49,
18021370028038018,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Is the Bible self-evidence about sexual ethics? About anything?

Paxton Barkdull recently had me on the Theology With Friends Podcast to talk about vocational singleness and LGBT+ topics, including how I arrived at a historic sexual ethic.

It’s been a journey!

I grew up hearing that every biblical Christian believed that God was against homosexuality.

I was taught that God’s wisdom in Scripture is self-evident to every Spirit-filled Christian and all come to the same conclusion.

Then I met smart Jesus-loving people in college with different interpretations. The simplicity of a self-evident Bible crumbled, disorienting my sexual ethics and my whole understanding of God’s wisdom.

I had a crisis of faith: How do I know God’s wisdom? *Can* I know God’s wisdom? Is God even real if so many disagree?

Serious doubt nearly destroyed my faith, but I dug deeper for better answers.

At the time, a friend quipped, “It’s either a pope in Rome, a pope in the mirror, or something in between. Choose your pope!”

I wasn’t Catholic, but I also didn’t trust my own interpretations over the next human’s. So I explored the in-between’s in Christian history.

As I studied, I was struck by Christ’s promise that He would give us the Church, led by His Apostles and their successors, to teach the Scriptures and lead His people.

And I was surprised to learn that a vast majority of Christians throughout history have believed that the most trustworthy human interpreters are those Church leaders who can trace their authority back to the Apostles.

To be clear, most Christians haven’t believed the Apostles (or their successors) teach perfectly. But if I personally arrive at a different interpretation than the strong consensus of the successors of the Apostles on a particular theological question, then I’m probably mistaken.

After that, the question of sexual ethics was fairly easy.

When I read the whole of Scripture with the historic Church, I found overwhelmingly more evidence for historic sexual ethics than for ex-gay theology or a revisionist sexual ethic.

Listen to the rest of the episode at the link in bio",0,"03/08/2024 07:43",https://www.instagram.com/p/C4QjtChrNXB/,"IG carousel",,Lifetime,1835,119,4,5,32,
17990744306620113,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Gay Christians committed to historic sexual ethics aren’t struggling because they haven’t tried enough, they struggle because our churches haven’t done enough to promote their thriving. 

#christiansexuality #christianity",29,"03/06/2024 08:37",https://www.instagram.com/reel/C4Lfv0KLL7d/,"IG reel",,Lifetime,4188,321,23,36,35,2
18111362896363437,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Plot twist: I fell in love with women and preferred marriage

I recently had the opportunity to dialogue with Reginaldo dos Santos Gomes, who interviewed me for Vivendo em Comunhão.

Living in Communion is a Brazilian initiative devoted to fostering Christian conversations on a variety of issues including sexuality, friendship, and hospitality.

Reginaldo asked me to share how I came to terms with my sexuality and settled into vocational singleness.

Many people (including Reginaldo) are surprised to hear that I dated women while being transparent about my sexuality, enjoyed romantic intimacy with them, and preferred to get married.

While I’m not bisexual and was fairly out in college, I was in a Christian fraternity and had to take women to date events.

A handful of times, both my date and I were surprised by how much we enjoyed the date and decided to go on more.

Two different times I fell in love while we dated, and at one point we nearly got engaged (but later broke up for reasons unrelated to my sexuality).

That's all to say, by the end of college, I knew that if God wanted me to marry a woman, that could work.

I'd also studied what the Scriptures had to say about lifetime abstinent singleness for the sake of kingdom work with undivided attention. Both seemed like possibilities for me. 

Eventually, the Holy Spirit made clear to me that I wasn't supposed to go take whichever vocation I wanted, but instead I was supposed to ask God whether He had a preference for which gift He wanted to give me.

So in 2014 I started discerning my calling. And I actually went into that process preferring marriage and hoping God would call me to that.

But by 2017, I felt strongly that God was calling me to vocational singleness in the context of committed community and started focusing building what would become the Nashville Family of Brothers.

Check out the rest of my interview with Reginaldo dos Santos Gomes of Vivendo em Comunhão at the link in bio.",0,"03/01/2024 08:21",https://www.instagram.com/p/C3-mcuKLQg4/,"IG carousel",,Lifetime,3289,258,15,10,25,4
17863191513094226,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","How can pastors & parents help young adults discern singleness & marriage?

Here’s a snippet from a recent Equip Webinar I taught:

“Here’s six key ways pastors and parents can support those who are discerning:

1. Teach kids to anticipate discernment of both vocations
2. Model both vocations in your family by including celibates
3. Celebrate both vocations in your church with public vocational singleness commitments
4. Value both vocations by hiring people in both vocations as church leaders at all levels
5. Help teens grow their capacity for general discernment
6. Invite those in their 20s and 30s to discern and guide them in that process

Let’s explore each of those.

1. Teach kids to anticipate discernment

First, teach kids that one day they’ll get to discern between vocational singleness and Christian marriage.

From a young age, talk about the possibilities of both vocational singleness and Christian marriage for your kids. Talk about the fact that God knows which will be best for each of them, and build positive anticipation for a time when they’ll get to ask God which adventure He’ll call them on!

2. Model both vocations in your family

Second, model both vocational singleness and Christian marriage in your home by making sure to include people called to vocational singleness in the everyday life of your family.

Kids need to see both modeled as good and beautiful in your home to believe both could be good for them! You could be intentional about choosing vocational singles as godparents for your children to knit them into your family. You could invite single people to weekly dinner with your family or include them in holidays and vacations. You could even invite single people to live in your home, commit to your family, and help you raise your kids.”

Want to read/watch the rest of the webinar? Check out the link in bio to read the transcript and/or get access to full video+notes as part of Equip’s Digital Leader’s Course!",0,"02/26/2024 08:12",https://www.instagram.com/p/C30SUbTrgX1/,"IG carousel",,Lifetime,977,38,8,2,9,
