"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Follows,Comments,Saves
17984585075108771,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Sabbatical showed me how workaholism disconnects me from myself, God, and others

I'm back! And I've got lots to share :) I went into my sabbatical hoping to detox from workaholism, and in the process, God taught me even more than I expected about what over-working has cost me over the years.

In the past I used work to entertain myself, distract myself, and numb myself.

From what? Fear.

Workaholism enabled me to avoid the painful reality that life in a broken world is scary (and that I have much less control than I'd like). I've been addicted to throwing myself into productivity to avoid uncomfortable truths.

Yet what I didn't fully appreciate until this sabbatical was how much over-working has cost me. It's disconnected me from myself, from the people I hope to love, and from God.

So over my sabbatical I got serious about connecting with my fear, and boy, did it have things to say!

I realized that some part of me is afraid to depend on anything good in my life because that good could get yanked away at any moment.

While I've been blessed in countless ways over the years that haven't been taken away, there have been unpredictably painful losses. And that unpredictability is key. I never know which good thing to hold loosely. So I hold them all loosely.

The result is that some part of me keeps me from trusting or fully enjoying anything in my life. Which feels crazy, but at the same time reasonable. 

My sabbatical involved a lot of grieving love I've hesitated to receive or share over the years because of that fear.

Yet the solution isn't to judge my fear or find even more effective ways of ignoring it. Instead, the key to connecting better with myself, God, and my family is to connect (particularly) with my fear.

How? I started practicing some new rhythms and boundaries over the sabbatical that I plan on continuing (and you can hold me accountable to):

1. Take concrete steps to work less by blocking the internet on my computer at 8 pm and inviting my family/coworkers to call me out if I'm working outside of work hours.

[con't in comments...]",0,"08/02/2023 10:30",https://www.instagram.com/p/Cvc150BLjPT/,"IG carousel",,Lifetime,5390,791,23,1,40,75
17982407045432605,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","My love letter to NFOB

In anticipation of my commitments, I've been journaling about what my brothers have meant to me and why I love them. I ended up writing a love letter, of sorts, and I wanted to share it with all of you :)

""I choose to love you for the rest of my life because of the love we've already shared. And I look forward to spending the rest of our lives nourishing that love and sharing it with others, all so that more people come to know the Savior who made this all possible.

...I love you because you've held me and reassured me during my worst failures. I love you because you've seen me through seasons of silence from God and doubt that imperiled my faith.

...I love you because you've made it easier to love. You've made it easier for me to believe a God exists and loves me (because nothingness couldn't bless me so deeply). You've made it easier for me to love others, particularly those that my selfish heart has found it challenging to love.

You've made it easier for me to be patient and be vulnerable. You've made it easier for me to put down my work, believe that it'll be okay, and be present with those I've been given to love.

...Most of all, I love you and will continue to love you because I choose you. I will love you because I have committed to you—because I want to know what it feels like to live with and love the same men for a lifetime, and then look back decades later and savor what has been earned and built.

I love you because you'll be the men who will hold my hand when the people we love pass, who will love me harder when the world cancels me, and who will love me even when my ugliest parts show.

...That's why I choose to love you today, and for the rest of my life.""

Read the rest at the link in bio",0,"09/28/2023 07:57",https://www.instagram.com/p/CxvVoB8r_u3/,"IG carousel",,Lifetime,2573,148,6,,8,4
17940806951711486,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Do I really need such a big celebration?

Leading up to my lifetime commitments, I’ve gotten some uncertain responses. For example, some felt my “bachelor” party was a little too extra with our matching shirts and wolf-howling-at-the-moon wine&paint session. So how big of a deal is this? To be honest, I think this is going to be the second most important day of my life (after my baptism)! 

That’s worth celebrating in a huge way. I’m planning on having formal wear and flowers. Organ and brass quintet music. A processional followed by formal vows. 

I’m celebrating with a bachelor party, rehearsal dinner, and a formal reception with jazz, cake and toasts. And after those celebrations, I have a commitments vacation in Europe planned. 

Altogether, I’ve planned these moments to help me believe that my vocation to kingdom singleness and my family with NFOB is just as beautiful, just as worth celebrating, and just as valuable as a marriage. 

I need a ceremony—a big embodied moment—to not only convince my mind, but to reassure my body and soul that God is really doing something. These celebrations will help me trust that God is really giving me the full gift of vocational singleness to thrive in my vocation, that He will truly give that 100-fold provision of family in this life and next.

I need help believing that God has given me an irrevocable call to fully commit myself to the undivided attention that vocational singleness can offer my kingdom work. And I need help committing to this family of brothers so that they know I will never leave them.

I’m hoping this huge celebration will help my restless mind, heart, and feet know where I'm staying, who I'm staying with, and what work that staying will empower.",0,"09/26/2023 08:21",https://www.instagram.com/p/CxqOxssLoFA/,"IG carousel",,Lifetime,3376,262,15,2,32,9
18247326721204843,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Some people assume that my same-sex attractions are the sole reason that I am committing to vocational singleness. Not so! 

For me, celibacy isn’t a consolation prize or a second-class vocation. I'm confident God would have called me to vocational singleness even if I were straight.

It’s true that experiencing same-sex attraction and being committed to historic sexual ethics meant I couldn’t default to romantic relationship with the people I am most attracted to. My circumstances forced me to pause and think more intentionally about what my options were and what I would pursue.

But during that intentional time of discernment, I discovered that God had always planned to call me to vocational singleness, regardless of my sexual orientation. At my upcoming lifetime commitments, I will joyfully say “yes” to God’s invitation to permanently leverage my singleness for the sake of serving the poor and needy with single-minded devotion. 

In the same way, the Nashville Family of Brothers isn’t just for gay men. It's a family for any Christian man, regardless of sexual orientation, called to vocational singleness for the sake of God’s kingdom. Even among current brothers, we have a mix of stories and backgrounds (like any family of God should)!

Every Christian, gay or straight, should discern whether God is calling them to vocational singleness or Christian marriage (instead of assuming their preference is God’s preference).

Are you interested in stepping into this discernment process for yourself? Feel free to reach out to me for resources!",0,"09/21/2023 08:22",https://www.instagram.com/p/CxdW_uwL_x8/,"IG carousel",,Lifetime,5505,514,17,4,17,54
17996986925005566,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","What words could you use to commit to celibacy? ***CORRECTION: Nashville Family of Brothers commitment events are led and officiated by the NFOB Pastoral Advisory Board. None of the individual pastors listed at the bottom of the program cover will be leading/officiating the ceremony in any official way. Gratefully, they will join all in attendance to pray for and celebrate the occasion!***

Check out these excerpts from the liturgy for my upcoming lifetime commitments.

The words speak of hope for family and hope that God would bless my commitments. They yearn for the love in our family, put into action in our kingdom work, would ultimately make it easier for people to believe God is real and good and loves them.

I’m grateful for the encouragement all of you have offered me in this season. You’re all part of the broader community that’s helping me take this step, so I wanted to share with you some of the sacred words I’ll get to say. Thank you for your continued prayers.

Ohh, and if you’d like to see the full order of service, just comment or shoot me a message!",0,"09/18/2023 16:01",https://www.instagram.com/p/CxWdHh1Rsgu/,"IG carousel",,Lifetime,3684,274,7,,11,36
18004265710987950,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Want to learn about stewarding your sexuality?

Our capacities for connection and need for community is a gift from God, and He's offered all of us wisdom for the best ways to steward our sexualities.

Instead of wanting to minimize the joy and satisfaction experience from our sexualities, God has intentionally designed our vocations to lead to fullness of life.

Join me at Equip’s next monthly Webinar to learn how all of us are invited to steward our sexualities in God-honoring and life-giving ways.

This Thursday, September 14th starting at 4 pm Central Time!",0,"09/12/2023 08:32",https://www.instagram.com/p/CxGM-_FrelK/,"IG carousel",,Lifetime,2121,72,1,,3,8
18261549094095373,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Who am I actually committing to if no one else has made lifetime commitments to the Nashville Family of Brothers?! 

The short answer: whomever God gives me to love.

You see, NFOB isn’t a chosen family, it’s a given family. When I make lifetime commitments to NFOB later this month, I’m committing to *whomever* eventually makes lifetime commitments to our family. And that’s pretty scary.

I won’t get to choose who’ll be in our family. NFOB isn’t a popularity contest–any Christian man who’s genuinely discerned that he’s called to vocational singleness in the context of our family can do so.

They will be my family for a lifetime. 

This commitment stands in contrast to preference-based romance and dating. We often choose our lovers (and friends) based on who serves us best. 

But I won’t get to curate the family I’m joining. The men I’ll call family in the coming decades probably won’t be the people I would have first chosen as friends. And THANK GOD–I choose poorly. 

10 years from now, regardless of my preference, I’ll know and love that given family more than anyone else in the world. I think that’s worth committing to.",0,"09/07/2023 08:11",https://www.instagram.com/p/Cw5Sh9xrN8h/,"IG carousel",,Lifetime,3566,261,7,2,13,7
18155199679292599,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Wow, I am blown away by everyone's kind words—what an outpouring!

I am beyond grateful. And it's surreal to read all of your encouragements. I find myself saying, ""They can't possibly be saying all of this about me. They must be talking about someone else!""

Your support is many magnitudes more than I ever expected. Any fears about whether the work has been worth it are scattered! I am delightfully overwhelming.

Words fail me to say thank you enough. I wish I could spend an hour at coffee with each of you who have commented or messaged and find a way to share my gratitude.

There's no way I could individually type out words to adequately thank each of you on here. Please know, I've read every word, and I cherish them.

I've saved what you've each said in a Word doc, and I'm going to turn the collection into a physical book. It will be a new mainstay of my workspace and any time I doubt whether it's worth it to keep laboring, I'll read your words outloud to myself. 

What a gift! I am truly blessed :) 

P.S. I apologize if I frightened anyone. I wasn't doubting whether to continue the kingdom work God has called me to in Equip or NFOB. I was just having some second thoughts about the time and energy I put into social media.",0,"09/02/2023 04:52",https://www.instagram.com/p/CwsDyznOHJh/,"IG carousel",,Lifetime,3019,258,2,,8,3
17863320296992361,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","I need some encouragement

I got some discouraging ""no's"" over the past couple of months.

And that brought up insecurity that the time and energy I've spent writing articles and sharing on socials over the past three years hasn't made a difference.

Thankfully, the advice of past mentors came to mind.

When I've been scared or in doubt, they've encouraged me to seek out more information. They've challenged me to invite others to anchor me in reality, instead of assuming the worst is true.

So I'm bringing my fears to yall and hoping you can give me a dose of reality:

If you've found articles I've written or posts I've shared to be helpful, would you share with me about that?

You can comment or dm or tag me in something. 

I'm hopeful that your encouragement is just what I need to press on :)",0,"09/01/2023 11:16",https://www.instagram.com/p/CwqK_zaRtoa/,"IG carousel",,Lifetime,4935,527,4,1,83,27
17995158902139901,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","What will my celibacy ceremony look and sound like?

I've shared before that I'll make commitments in a church, administered by an ecumenically Christian group of pastors in priestly collars, surrounded by dressed-up friends and family, and accompanied by a brass quintet and organ.

But some of you have asked what specific vows will be made and how the rest of the commitments liturgy will support that.

We'll begin and end with some of my favorite worship songs about kingdom work, family in the body of Christ, and surrendering to God's care.

Friends will read various passages about vocational singleness. Everyone gathered will chant a psalm about Christian family. The rest of the NFOB guys will lead us in confessing the Nicene Creed.

A pastor friend will offer a brief sermon to help orient guests to what's taking place, how that's rooted in historic biblical practices, and (most importantly) how living out these commitments should preach the gospel.

There will be a time of corporate confession and corporate prayer to prepare for my commitments.

Then finally, I'll make commitments through call and response saying, ""I will, the Lord being my helper."" My parents, all in attendance, and the other guys in NFOB will commit to support me.

And as the pastors gathered lay their hands on me and my mentor anoints me with oil, he will call upon the Lord:

""Pieter, now that you have made lifetime commitments to vocational singleness, to simplicity in your finances, to serve the Nashville Family of Brothers as your family, and to obey the monastery’s Community Covenant, receive the gift of vocational singleness and be bound to this family.

In this sacramental moment, accept God’s provision of grace to keep your commitments, in the Name of the Father, and of the Son, and of the Holy Spirit.""

That's why I need to make my commitments publicly and solemnly. I believe (as the Church has historically taught) that God will fundamentally change something about me when I receive that fuller gift of vocational singleness.

I need the austerity of the ceremony to reassure me that God is providing that fuller gift. I need guests to witness God's work and... [con't in comments]",0,"08/29/2023 09:32",https://www.instagram.com/p/CwiQtC2LQVL/,"IG carousel",,Lifetime,4991,411,24,3,43,45
