"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
17940623702904528,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Do you think celibate anniversaries are worth celebrating?

This weekend, I gathered with brothers and close friends to celebrate the 1-year anniversary of my lifetime commitments to NFOB and vocational singleness!

We prayed, flipped through a photo album gifted for my 1-year anniversary (paper), shared a potluck dinner, desserted on the top tiers of my lifetime commitments cake frozen from a year ago (still yummy), and ended with a galactic paint&sip.

But the night before, I was filled with dread.

A month after my commitments I got the ceremony recording. As I posted about in 2023, a mental health episode of a brother on the day of my commitments meaningfully impacted my experience. So I was eager to re-experience the ceremony by watching the recording.

Then NFOB experienced what I thought would be a momentary blip but turned out to be a months-long, still-healing rough patch. Each month I postponed the rewatch, telling myself, ""I just need to wait until NFOB is in a little bit better place...""

I ended up procrastinating until the night before my 1-year anniversary (a whole year), but finally forced myself to watch the recording, bracing myself for grief and anger.

Instead, I was filled with hope.

I was reminded how many people gathered to celebrate my commitments and to hope for my sake and the sake of NFOB that this crazy idea would work out.

But they were also hoping for themselves, their siblings, and their kids—hoping that there was actually a way for lifelong singles to find lifelong, lived-in human family that could quench their loneliness and enliven their thriving.

Then my 1-year anniversary celebration deepened that hope. I couldn't have made it through the past year without my brothers and friends. Their hugs and potluck prayers reminded me that many people are rooting for us.

Thank you for your tenderness and support!

And God, thank You for giving me a family of my own.

Long before I was born, the brokenness of this world conspired to keep people like me from experiencing Your love through human family.

But a year ago You changed that, and a year later, I'm still blessed beyond my wildest dreams.",0,"09/30/2024 10:37",https://www.instagram.com/p/DAjMeZHv4yu/,"IG carousel",,Lifetime,7393,302,4,17,8,2843,2
18049621774746811,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Equip turns local leaders into experts!
(instead of depending on me to teach every time)

We just finished the first of a series of training sessions with pastors and Christian school principals for a regional network of churches that serves over 500,000 people.

Equip has been preparing with local church leaders over the past year to take this first step toward training every pastor and parent to minister to teens and young adults about God's wisdom for sexual stewardship.

The best part: I didn’t say a word. I didn't spend a single minute teaching up front.

One of Equip’s core values is building up capacity in local churches so that their churches don’t need us long-term. We turn pastors and parents into experts so that they can carry the work forward for decades to come.

It is a delight to offer Equip’s experience and expertise on LGBT+ topics to local leaders and watch them filter Equip’s content through their own understanding of their church’s context and culture.

Ultimately, long-term ministry efforts led by the hearts and minds and words of local leaders will lead to the biggest impact.

My heart is full from getting to be part of this journey. I'm grateful to God for the work that Equip gets to be a part of. And I’m grateful for those of you who have been praying for and donating to the work of Equip.

Big wins like this are possible because of your prayer and financial support. THANK YOU, and celebrate with us this work we’re all doing together!",106,"09/27/2024 08:41",https://www.instagram.com/reel/DAbQvktJuDs/,"IG reel",,Lifetime,1508,24,1,0,1,1085,
18041616452022037,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Was singleness harder after college dorm-life?

I recently joined Noah Filipiak on the Flip Side Podcast to discuss why it seemed easy to thrive in singleness in college but impossible afterward—and how churches can help post-college.

Step 1: The Problem

Rodney Clapp, in Families at the Crossroads, argues that the Industrial Revolution caused the breakdown of community. With technological advances, more Americans could afford single-family homes and move cities or states frequently.

But we never asked if we should move, just because we could.

Constant relocation destroyed hard-earned, slowly rebuilt community. Single-family homes put distance between neighbors. After work and sleep, little time is left for community, and many of those hours need to be spent on spent cooking, doing the dishes, folding laundry, getting ready for work or bed, and transitioning between activities.

In multi-family homes, these mundane moments could be shared with neighbors. But in single-family homes, they become lost opportunities for connection.

Step 2: The Solution

During the podcast, Noah noted, ""The only place where singles seem to thrive is in college dorms. But there's nothing post-college.""

What if the solution is to never leave the dormitory?

Colleges evolved from monasteries. Historically, monasticism (or some kind of lived-in intentional Christian community) has been the most common way that vocational singles have found family. Perhaps living in a modern monastery is how singles can continue thriving after college.

It’s weird, but vocational singles might need to embrace what’s weird to get what they need, until we reverse the trend of single-family isolation.

And if there’s no intentional Christian community in your area, you could start one! Just gather friends, live together for a year, create rhythms of prayer + meals + community service, and see what happens!

Check out the full podcast in the link in bio for simple steps toward starting an intentional Christian community.

#SexualEthic #VocationalSingleness #SexualStewardship #Discernment #ChristianCelibacy #SideB  #GayChristian #LGBTinChrist #Monastery #Loneliness #IntentionalCommunity",0,"09/24/2024 08:10",https://www.instagram.com/p/DATe4mqxABm/,"IG carousel",,Lifetime,6020,107,29,16,30,2988,1
18199995622290574,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","grateful for Wednesday afternoons with my godson to play board games and wax about whether ghosts are real",0,"09/19/2024 09:47",https://www.instagram.com/p/DAGyARwPO1k/,"IG carousel",,Lifetime,4321,285,2,12,2,2301,
18325598677149070,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Can you spot the three horsemen of the New Ex-Gay movement?

The ex-gay movement seemingly died in the 2010s. Exodus International (the umbrella organization of sexual orientation change effort ""SOCE"" ministries) closed in 2013, admitting that ""99.9% of [participants] have not experienced a change in their orientation.""

By the end of the 2010s, it seemed that evangelical Christians had widely accepted that people don't choose who they're attracted to, SOCEs were harmfully ineffective, and a different solution was needed.

But over the past few years, the ex-gay movement appears to be making a comeback. And if we aren't diligent to expose this new ex-gay activity early, the movement may regrow and lead to another generation of LGBT+ people losing their faith and/or committing suicide.

Who are the three horsemen of the new ex-gay?
1. Reintegrative Therapy
2. Concupiscence Debates
3. Trans Whataboutism

These harbingers aren't particularly clever, but they can be extremely effective if we let them grow unnoticed.

Where have you seen these three horsemen of the new ex-gay in your church? Your denomination?

Learn about each of these ex-gay horsemen and how to spot them at the link in bio

#SexualEthic #VocationalSingleness #SexualStewardship #ChristianCelibacy #SideB #GayChristian #LGBTinChrist #ExGay #ConversionTherapy",0,"09/17/2024 07:54",https://www.instagram.com/p/DABbgn9RTeM/,"IG carousel",,Lifetime,12769,230,34,30,65,4880,4
18043421978006429,17841420482789337,prematureadults,"preMature Adults Podcast","🆕 Episode Out October 4th",30,"09/16/2024 20:25",https://www.instagram.com/reel/DAAMmoGx6jT/,"IG reel",,Lifetime,1478,14,0,0,0,,
18060462859729438,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Have you sensed a tension between racial justice and biblical justice for gay people?

In my latest article in The Living Church, I explore how Christians can use the concepts of systemic racism and biblical racial justice to think about biblical justice for sexual minorities.

After George Floyd's death in 2020 and healthier conversation in white evangelical churches about racism, friends began messaging me some version of the following:

""I’ve become convinced that how Jesus really sees things is more in line with culturally progressive views on racial justice and women in leadership.

""I’ve always believed in a more traditional Christian sexual ethic, but now it’s bothering me that the version of Jesus in my head leans one way on race and women, but then the other on sexual minorities. That seems inconsistent.

""I feel like Jesus wants some form of dignity and justice for gay people as well. Does that mean I need to switch my views on that too?""

These earnest Christians sensed a tension between their beliefs on racial justice, female leadership, and LGBT+ dignity. They hoped to satisfy their God-given yearning for justice for sexual minorities without needing to abandon historic Christian sexual ethics.

What if a kind of systemic homophobia exists in our churches that lingers today and keeps gay Christians from thriving according to biblical sexual ethics?

Moreover, what might it look like for our churches to deconstruct systemic homophobia, make gay Christians whole again, and witness flourishing according to God's wisdom?

Read the rest of the article at the link in bio

#SexualEthic #VocationalSingleness #SexualStewardship #ChristianCelibacy #SideB  #GayChristian #LGBTinChrist #SystemicRacism #RacialJustice #GeorgeFloyd #BiblicalJustice",0,"09/13/2024 08:38",https://www.instagram.com/p/C_3NVBkxNYK/,"IG carousel",,Lifetime,7270,130,13,4,45,3168,8
18044941120803725,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","How should Christians engage with conversations about trans identity?

As cultural debates about trans athletes, parental rights over gender identity, and bathroom bills take center stage, how prepared are you to engage in these conversations with love and wisdom?

What impact will the upcoming 2025 Supreme Court case on access to gender transition for minors, or any other government policy, have on these discussions?

How can Christians balance holding firm convictions with Christ-like compassion for trans individuals and their loved ones, especially when relatives or friends may strongly disagree?

Join us for Equip’s next webinar, where we’ll explore these questions and more on Tuesday, October 1, at 3 pm Central Time.

Register today and secure your spot at the link in bio!",11,"09/10/2024 09:26",https://www.instagram.com/reel/C_vkcc1PDui/,"IG reel",,Lifetime,2880,29,1,0,6,1586,
17936901335876367,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","I don't have the secrets to lifetime celibacy

Last month I went on a walk-and-talk with a guy who'd been following me on Instagram for a while. He messaged me and said he'd almost given up hope, but he thought he'd give it a chance and reach out to me.

As we crisscrossed the neighborhood, he said he started following me because I posted honestly about my ""struggles with sexual purity,"" as he called it.

He was secretly battling addiction and found it refreshing to hear someone speak openly about sexual addiction, gay desire, rooting out sin, and chasing after Jesus.

But, he said that for the past five years or so he'd go almost 12 months without slipping up, but then he’d sext an old fling or download a hookup app and meet a stranger.

""Pieter, I know you post about still struggling with temptation, but I think I'm too far gone. I think I'm gonna give up.""

I responded with some encouragement to keep up the good fight, but he quipped back, ""You don't struggle like me. You post about sexual sin, but you probably just watch porn once a year or something like that.""

I reminded him of social media posts he had commented on where I named my deep regret for past sexual sins and the ways my mistakes enabled others to sin.

""You don't get it. People who are addicted as bad as I am don't get better.""

Usually, I hesitate to share about the specifics of my sexual sin. Sometimes I worry that giving too much detail glorifies the sin and tempts others. Or maybe I'm just ashamed that I've disobeyed God so severely.

But this time, it seemed like I needed to be transparent. I told him that over the past five years I'd relapsed twice, thoroughly losing my sobriety. In between those two relapses, there were a few times when I crossed boundaries with guys that were less severe but still sinful.

I shared that I'd had some messy interactions with people I saw as peers but who (I later learned) looked up to me. I was honest that I was still trying to figure out whether physical affection like cuddling was wise for me…[con’t in comments]",0,"09/09/2024 06:41",https://www.instagram.com/p/C_ss2qoxw1i/,"IG carousel",,Lifetime,11613,404,17,66,65,4032,1
17910746022003634,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Have you ever shared with a mentor about struggles in singleness and they’ve condescendingly quipped back, “Well, Paul says it’s better to marry than to burn. Just get married!” 

Too many of us in the Church have. 

Instead of getting help to navigate loneliness and desire, single Christians are offered marriage as the cure-all solution. And if you return a few months later still single and with the same burdens, you’re blamed for your challenges: “You should have taken my advice. You don’t have to struggle. Just start dating!” 

It begs the question: Is it really better to marry than to burn? What does Paul actually mean in 1 Corinthians 7:9 when he says, “But if they cannot control themselves, they should marry, for it is better to marry than to burn with passion.” 

Feel free to add your thoughts in the comments–I’m curious!

I dig into these questions in the article at the link in bio!",9,"09/05/2024 09:09",https://www.instagram.com/reel/C_iqPoNPkOa/,"IG reel",,Lifetime,4304,78,1,15,15,2027,
