"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18095533246462102,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Is your gay closet to blame for your addiction?

I recently shared about my ongoing sexual addiction recovery. And I’ve posted in the past about the fact that same-sex attraction does not inherently lead to sexual addiction.

But it’s true that gay people struggle with sexual addiction at higher rates than some other populations. Why?

The closet.

Even into the 2020s, surveys continue to find that the average LGBT+ person waits five years after noticing same-sex attractions or gender incongruence to share with a parent or a pastor.

Teens are still afraid that if/when they share their story, they’ll be called an abomination, told they’re dirty and disgusting, bullied, or kicked out of their house or church.

They spend five years making sense of big questions around identity and self-worth without the love and wisdom of parents, left alone in the dark with the lies of the Enemy and the broken world around us.

For many this leads to loneliness, shame, anxiety, depression, suicidality, and doubt about whether God loves us or even exists.

The closet is a breeding ground for addiction. It was for me.

We drowned in pain, and we were desperate for something to help us numb and escape. 

We were afraid that if we got too close to friends, we’d develop a crush or accidentally out ourselves, so we settled for shallow friendship.

For many trapped in the closet, lust and pornography seemed like the only way to escape pain and connect with something. That perfect storm taught too many of us to repeatedly medicate our pain with something sexual.

Then like any addiction, as our pain continued, our addiction grew. Porn was no longer good enough. We needed a bigger dose of something more.

To be clear, I’m not trying to absolve myself or anyone else of responsibility for our decisions. Regardless of addiction, I’m responsible for my actions and for my recovery.

But consider this: how would you view a straight person who secretly experienced five years of repeated trauma in their teens, developed an addiction to pain-killers, and are still struggling with imperfect recovery into adulthood?

How are gay people like me much different?

#SexualEthic #GayChristian #Trauma",14,"10/02/2024 09:32",https://www.instagram.com/reel/DAoOiyNvBqv/,"IG reel",,Lifetime,7289,2827,175,5,2,19,50
18053774741042060,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","I'm grateful for all God did in 2024

For new friends (Tyler, Stefan, Vincent, Carrie) and old friends (NFOB, biofam, Amber, Chase/Hannah, Josh/Natalie, Jesse, Ryan) who loved me through the past year.

For collaboration through Equip with high-impact church leaders in St. Louis and Chicago who are doing the deep work of making their community places where LGBT+ Christians could actually belong and thrive according to historic sexual ethics.

For the privilege to preach at Asbury Theological Seminary chapel about practical steps our churches can take to ensure God's wisdom leads to good and beautiful fruit in the lives of LGBT+ people.

For the honor of playing a small part in supporting my counseling clients as they honor their pain, connect more authentically, and grow in mental and spiritual health.

For weekly hangouts with my godson Bentley at the Board Game Cafe. He'll have the gummy bears, M&Ms, chocolate covered pretzels, and the catapult game, please.

For the chance to accompany Amber and her kids to Legoland and dazzle my inner 10-year-old.

For a deeply replenishing retreat with the NFOB guys in September where we were able to hold space for losses and unmet longings from the past year and offer each other hope for the future.

For the opportunity to learn from challenging circumstances by facing my capacity to be disagreeable, combative, harsh, risk-taking, insensitive, selfish, and defensive AND for the mentors and loved ones who kept me going (and still are).

What are some of your 2024 wins that you're celebrating this NYE?",0,"12/31/2024 07:01",https://www.instagram.com/p/DEPzwXLxXyD/,"IG carousel",,Lifetime,5935,1905,251,0,,0,7
18022613498636308,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","11 free resources on LGBT+ topics & vocational singleness from 2024 

1. ""Unpacking the Closet: How Inside Out 2 Resurfaced my Closet Trauma” in Christ & Pop Culture exploring the painful tragedy of the gay closet

2. ""The New Ex-Gay"" on pieterLvalk.com examining elements of the new ex-gay movement including reintegrative therapy, concupiscence debates, and trans whataboutism

3. “Coming Out as Celibate to my Gay Hairstylist” in Fathom Mag on fears around sharing my sexual ethics and empathizing with the fear many Christians feel toward revealing their convictions

4. “An Orthodox Challenge to Systemic Homophobia” in The Living Church unpacking how concepts from racial justice conversations might help Christians have a better conversation about Jesus justice for LGBT+ people

5. A video article / webinar at Equip answering the question “Should Christians attend gay weddings?”

6. “A Better Trans Debate” in Christianity Today exploring how Christians can engage in trans conversations with Christ’s wisdom and love

7. A brief explainer of my convictions on biblical gender ethics, including whether medical transition is a sin

8. A video article / webinar at Equip answering the question “Is giving up gay romance a sacrifice?”

9. Pieter (me) on the Church Politics Podcast w/ Justin Giboney discussing sexual ethics, the Church, and how Christians can better love gay people    

10. “Is God’s wisdom good and beautiful for gay people?” at Asbury Theological Seminary Chapel examining why God’s wisdom often doesn’t lead to thriving in the lives of faithful LGBT+ Christians and what to differently

11. “When Heavyweights Change their Minds” in Firebrand Mag unpacking Dr. Richard B. Hays’s changing views on gay marriage and whether Christians who’ve leaned on his theology in the past should re-evaluate their convictions

Links in bio",0,"12/29/2024 08:09",https://www.instagram.com/p/DEKx-6sPUZ6/,"IG carousel",,Lifetime,7973,3126,48,8,38,0,49
18044122937189173,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Would you help change the story about LGBT+ people & God's love?

This Christmas Equip (the ministry I help run) has been celebrating 10 years of ministry by sharing the stories of LGBT+ people, parents, and pastors impacted by our work over the past decade.

(Check out some of those stories in the video.)

As Equip has trained over 35,000 Christian leaders across the globe, God has been faithful to write better stories for gay people like me.

And I'm confident that God wants to use Equip to tell even better stories over the next ten years. 

What if our churches and families become places where no kid ever has to go in the closet again?
What if they became places where LGBT+ Christian thriving according to God’s wisdom was commonplace?

What if the stories people told about LGBT+ people and the Church was a bridge to the gospel instead of a barrier?

To empower churches and families to make those better stories a reality over the next decade, Equip is raising $60,000 this season. And thanks to generous supporters, every donation is matched up to $30,000.

There's only a few weeks left in the year, and we're still $15,000 short of our goal.

Would you help us tell a better story about God's love for LGBT+ people—one that draws more people to Jesus—by giving today?

Learn more and donate today at the link in bio.",90,"12/26/2024 10:51",https://www.instagram.com/reel/DEDVmTzPGuH/,"IG reel",,Lifetime,3537,2141,33,5,,0,8
17860244691322423,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Celibate Christians, today we celebrate the birth of a celibate Savior who walked our path, lifted up our vocation, promised us 100-fold human family, and overcame death to empower us to build the kingdom.

Celebrate today!

Then let's get busy bringing forth the kingdom.

#vocationalsingleness #christmas #celibatechristian#kingdomwork #discernment",14,"12/24/2024 09:21",https://www.instagram.com/reel/DD-CPXFPf1A/,"IG reel",,Lifetime,4322,2573,151,13,1,2,12
18274893082301299,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","photo dump of babymullet, advent, polar bear plunges, and leslie odom jr.",0,"12/23/2024 08:49",https://www.instagram.com/p/DD7Z2CfPRKO/,"IG carousel",,Lifetime,6635,2959,346,7,1,20,4
18052471252993652,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","What the Golden Bachelorette can teach you about friendship love

Over Thanksgiving my brother and sister-in-law forced me to watch The Golden Bachelorette with them. And I cried.

At the end of episode 4 of Joan's season, multiple contestants failed to get a rose. But instead of being sore losers toward the other eligible elderly bachelors or pining over Joan, they gushed over their newfound brothers.

Fan-favorite Charles L. said, ""We opened our hearts. Everybody helped each other. [We made] lots of good friends,"" as he excitedly hugs another contestant goodbye.

Later he shares, ""It's [been] a successful journey for me, having love with my friends. It's a different form of love. [But] I did find it.""

Despite the fact that the whole Bachelor/Bachelorette franchise is built on an idolization of romance, these men shared a house together for a month or so and discovered that friendship love was what they had been searching for all along.

Age has given them wisdom. Wisdom enough to notice when brotherhood is just as satisfying as (if not more satisfying than) romantic love of another.

They might as well have been quoting David in 2 Samuel 1:26

""I am distressed for you, my brother Jonathan; You have been a close friend to me. Your love for me was more wonderful Than the love of women.""

What if we didn't wait until our 60s to discover that friendship love could be just as satisfying as romantic love?

What if we were no longer bachelors, because we'd settled into a family of friends?

#thegoldenbachelorette #thegoldenbachelor #bachelornation #friendshiplove #vocationalsingleness #celibatechristian",42,"12/19/2024 08:56",https://www.instagram.com/reel/DDxHRmLPGe_/,"IG reel",,Lifetime,5341,2784,99,13,,4,7
18057683908932794,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Was Jesus silent about sexuality?

I just finished a seminar with a team of pastors just outside of New York City. We were exploring some of the trickiest questions that come up in 1-on-1 discipleship with straight Christian allies of LGBT+ people or LGBT+ Christians seeking to be faithful to God's wisdom. 

People often ask: ""Wasn't Jesus silent on sexuality? Should churches just be silent where Jesus was silent?""

How would you respond?

During our seminar, we discovered that in Matthew chapter 19, Jesus actually addresses sexuality directly and gives us everything we need to know for sexual stewardship in 12 verses.

Jesus calls His people back to God’s original intentions for marriage: a lifelong marriage between one woman and one man to serve God, not themselves.

And then Jesus introduces an alternative: permanently giving up romance, marriage, sex, and biological children for the sake of doing kingdom work with undivided attention.

Those are Christ’s best for us: christian marriage or vocational singleness, regardless of sexual orientation.

That’s what a vast majority of Christians have believed over the past 2,000 years, and that’s what the majority of global Christians believe today.

So Jesus did have something to say about sexuality in the Scriptures. His wisdom is pretty clear, and we can trust it.

I'm curious, are the Christian leaders in your community eager to get equipped for LGBT+ discipleship?

Feel free to reach out to me for more info or to schedule a huddle with your leaders!

And, if you've been supporting the work of Equip in prayer and donations, THANK YOU!

Your continued support makes seminars like this one possible. You're equipping the next generation of leaders to engage LGBT+ topics with the love and wisdom of Jesus!",118,"12/17/2024 08:16",https://www.instagram.com/reel/DDr4_LmJkNZ/,"IG reel",,Lifetime,2434,1558,62,5,,8,16
18324624805083533,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","Does your church have an ascetic fetish? Does it romanticize celibacy?

Vocational singleness is often misunderstood and misrepresented in art and culture as a solitary, extreme, or overly mystical vocation.

Renaissance-era paintings like “The Monk by The Sea” portray a constant drama of temptations and holier-than-thou isolation. Others depict desert monks and cave ascetics battling with demons.

Let’s face it: Christians have an ascetic fetish.

We’ve romanticized celibacy in a way that makes it easy to dream about and just as easy to dismiss.

Christians have fetishized vocational singleness as a lofty and inaccessible sacrifice to be thrilled by, rather than something to seriously consider for ourselves.

But Early Church sources about the practice of singleness tell a different story than the popular paintings:

Men and women (1) permanently committed to celibacy, (2) gathered in informal urban communities,  (3) working normal jobs,  (4) going to church with married Christians and their kids, and (5) using their availability to serve the poor and needy.

Far from isolated ascetics, they formed supportive, intentional communities that reflected Christ’s kingdom.

Part of my discernment of vocational singleness—a lifetime commitment to celibacy for the sake of undivided Kingdom work––included a wrestling with these unbiblical, romanticized ideas of celibacy.

Thankfully, study of the Scriptures and the wisdom of the Early Church helped me recognize my need for lifelong, lived-in family––eventually leading to the founding of the Nashville Family of Brothers.

We’re an ecumenically Christian community offering lifelong family to men called to vocational singleness. It’s our home where we pray, eat, work, and worship together while remaining active in our local churches and broader community.

What if God wasn’t calling you to lonely prayer in a cave, but instead robust lived-in family with other celibates that you could depend on for a lifetime?

How might rejecting the ascetic fetish of past centuries and renewing your vision for vocational singleness help you discern more clearly?

DM me for the link to my article in Ekstatis Magazine",48,"12/13/2024 09:44",https://www.instagram.com/reel/DDhvy9avWSa/,"IG reel",,Lifetime,4432,2202,67,1,,0,21
18065154955701741,17841415038692451,pieterlvalk,"Pieter L Valk, LPC","How can you discern between vocational singleness & Christian marriage?

First, develop your capacity for general Christian discernment. Get experience with the general practice of bringing a question to God.

Second, remove any theological or psychological barriers that might bias you against either by meeting with a therapist and studying Scripture.

Third, consider whether you feel called to the kingdom work of raising children, kingdom work mutually exclusive with raising children, or don't feel a strong calling to either.

Fourth, examine past and current circumstances to see if they point to God leading you down one path or another.

Fifth, get a spiritual director to guide your discernment process and ask family to pray and process with you.

And Sixth, allow time. Give yourself multiple years to intentionally discern using the ingredients above.

DM me for the link to a full video article on how to discern God’s calling",54,"12/10/2024 09:08",https://www.instagram.com/reel/DDZ9k4JJ3xl/,"IG reel",,Lifetime,1857,1238,43,8,,0,13
